R ,17 ,C ,8 ,N ,30 ,D ,70,Rate ,1.000000,T ,0.427000 ,
R ,17 ,C ,8 ,N ,40 ,D ,1,Rate ,1.000000,T ,0.012000 ,
R ,17 ,C ,8 ,N ,40 ,D ,2,Rate ,1.015625,T ,0.015000 ,
R ,17 ,C ,8 ,N ,40 ,D ,3,Rate ,1.024691,T ,0.017000 ,
R ,17 ,C ,8 ,N ,40 ,D ,4,Rate ,1.019048,T ,0.018000 ,
R ,17 ,C ,8 ,N ,40 ,D ,5,Rate ,1.042857,T ,0.023000 ,
R ,17 ,C ,8 ,N ,40 ,D ,6,Rate ,1.062147,T ,0.025000 ,
R ,17 ,C ,8 ,N ,40 ,D ,8,Rate ,1.054902,T ,0.045000 ,
R ,17 ,C ,8 ,N ,40 ,D ,10,Rate ,1.008721,T ,0.034000 ,
R ,17 ,C ,8 ,N ,40 ,D ,12,Rate ,1.007075,T ,0.063000 ,
R ,17 ,C ,8 ,N ,40 ,D ,14,Rate ,1.007905,T ,0.061000 ,
R ,17 ,C ,8 ,N ,40 ,D ,16,Rate ,1.006920,T ,0.066000 ,
R ,17 ,C ,8 ,N ,40 ,D ,18,Rate ,1.002967,T ,0.074000 ,
R ,17 ,C ,8 ,N ,40 ,D ,20,Rate ,1.001361,T ,0.110000 ,
R ,17 ,C ,8 ,N ,40 ,D ,25,Rate ,1.000000,T ,0.166000 ,
R ,17 ,C ,8 ,N ,40 ,D ,30,Rate ,1.003472,T ,0.142000 ,
R ,17 ,C ,8 ,N ,40 ,D ,35,Rate ,1.002959,T ,0.237000 ,
R ,17 ,C ,8 ,N ,40 ,D ,40,Rate ,1.000651,T ,0.328000 ,
R ,17 ,C ,8 ,N ,40 ,D ,45,Rate ,1.002288,T ,0.270000 ,
R ,17 ,C ,8 ,N ,40 ,D ,50,Rate ,1.001546,T ,0.635000 ,
R ,17 ,C ,8 ,N ,40 ,D ,55,Rate ,1.000466,T ,0.498000 ,
R ,17 ,C ,8 ,N ,40 ,D ,60,Rate ,1.001280,T ,0.602000 ,
R ,17 ,C ,8 ,N ,40 ,D ,65,Rate ,1.004321,T ,1.736000 ,
R ,17 ,C ,8 ,N ,40 ,D ,70,Rate ,1.000000,T ,0.650000 ,
R ,17 ,C ,8 ,N ,50 ,D ,1,Rate ,1.020000,T ,0.025000 ,
R ,17 ,C ,8 ,N ,50 ,D ,2,Rate ,1.000000,T ,0.018000 ,
R ,17 ,C ,8 ,N ,50 ,D ,3,Rate ,1.037736,T ,0.022000 ,
R ,17 ,C ,8 ,N ,50 ,D ,4,Rate ,1.047619,T ,0.026000 ,
R ,17 ,C ,8 ,N ,50 ,D ,5,Rate ,1.017751,T ,0.025000 ,
R ,17 ,C ,8 ,N ,50 ,D ,6,Rate ,1.090090,T ,0.035000 ,
R ,17 ,C ,8 ,N ,50 ,D ,8,Rate ,1.039755,T ,0.048000 ,
R ,17 ,C ,8 ,N ,50 ,D ,10,Rate ,1.025641,T ,0.049000 ,
R ,17 ,C ,8 ,N ,50 ,D ,12,Rate ,1.009579,T ,0.105000 ,
R ,17 ,C ,8 ,N ,50 ,D ,14,Rate ,1.006421,T ,0.096000 ,
R ,17 ,C ,8 ,N ,50 ,D ,16,Rate ,1.012346,T ,0.131000 ,
R ,17 ,C ,8 ,N ,50 ,D ,18,Rate ,1.013317,T ,0.154000 ,
R ,17 ,C ,8 ,N ,50 ,D ,20,Rate ,1.006572,T ,0.152000 ,
R ,17 ,C ,8 ,N ,50 ,D ,25,Rate ,1.003393,T ,0.185000 ,
R ,17 ,C ,8 ,N ,50 ,D ,30,Rate ,1.001413,T ,0.273000 ,
R ,17 ,C ,8 ,N ,50 ,D ,35,Rate ,1.001196,T ,0.345000 ,
R ,17 ,C ,8 ,N ,50 ,D ,40,Rate ,1.002581,T ,0.515000 ,
R ,17 ,C ,8 ,N ,50 ,D ,45,Rate ,1.001842,T ,0.641000 ,
