R ,8 ,C ,5 ,N ,50 ,D ,5,Rate ,1.001194,T ,0.204000 ,
R ,8 ,C ,5 ,N ,50 ,D ,6,Rate ,1.005970,T ,0.260000 ,
R ,8 ,C ,5 ,N ,50 ,D ,8,Rate ,1.004184,T ,0.256000 ,
R ,8 ,C ,5 ,N ,50 ,D ,10,Rate ,1.006532,T ,0.281000 ,
R ,8 ,C ,5 ,N ,50 ,D ,12,Rate ,1.004187,T ,0.409000 ,
R ,8 ,C ,5 ,N ,50 ,D ,14,Rate ,1.002387,T ,0.335000 ,
R ,8 ,C ,5 ,N ,50 ,D ,16,Rate ,1.007775,T ,0.574000 ,
R ,8 ,C ,5 ,N ,50 ,D ,18,Rate ,1.009564,T ,0.750000 ,
R ,8 ,C ,5 ,N ,50 ,D ,20,Rate ,1.005432,T ,0.551000 ,
R ,8 ,C ,5 ,N ,50 ,D ,25,Rate ,1.010167,T ,0.753000 ,
R ,8 ,C ,5 ,N ,50 ,D ,30,Rate ,1.013095,T ,1.529000 ,
R ,8 ,C ,5 ,N ,50 ,D ,35,Rate ,1.016119,T ,1.965000 ,
R ,8 ,C ,5 ,N ,60 ,D ,1,Rate ,1.001978,T ,0.333000 ,
R ,8 ,C ,5 ,N ,60 ,D ,2,Rate ,1.004010,T ,0.191000 ,
R ,8 ,C ,5 ,N ,60 ,D ,3,Rate ,1.001980,T ,0.182000 ,
R ,8 ,C ,5 ,N ,60 ,D ,4,Rate ,1.007448,T ,0.306000 ,
R ,8 ,C ,5 ,N ,60 ,D ,5,Rate ,1.008969,T ,0.245000 ,
R ,8 ,C ,5 ,N ,60 ,D ,6,Rate ,1.001505,T ,0.225000 ,
R ,8 ,C ,5 ,N ,60 ,D ,8,Rate ,1.002978,T ,0.362000 ,
R ,8 ,C ,5 ,N ,60 ,D ,10,Rate ,1.005456,T ,0.473000 ,
R ,8 ,C ,5 ,N ,60 ,D ,12,Rate ,1.004453,T ,0.658000 ,
R ,8 ,C ,5 ,N ,60 ,D ,14,Rate ,1.007478,T ,0.732000 ,
R ,8 ,C ,5 ,N ,60 ,D ,16,Rate ,1.010853,T ,0.764000 ,
R ,8 ,C ,5 ,N ,60 ,D ,18,Rate ,1.008960,T ,0.931000 ,
R ,8 ,C ,5 ,N ,60 ,D ,20,Rate ,1.007976,T ,0.826000 ,
R ,8 ,C ,5 ,N ,60 ,D ,25,Rate ,1.017292,T ,1.486000 ,
R ,8 ,C ,5 ,N ,60 ,D ,30,Rate ,1.017893,T ,2.320000 ,
R ,8 ,C ,5 ,N ,60 ,D ,35,Rate ,1.017982,T ,1.602000 ,
R ,8 ,C ,5 ,N ,70 ,D ,1,Rate ,1.000859,T ,0.211000 ,
R ,8 ,C ,5 ,N ,70 ,D ,2,Rate ,1.005548,T ,0.246000 ,
R ,8 ,C ,5 ,N ,70 ,D ,3,Rate ,1.005532,T ,0.275000 ,
R ,8 ,C ,5 ,N ,70 ,D ,4,Rate ,1.005146,T ,0.268000 ,
R ,8 ,C ,5 ,N ,70 ,D ,5,Rate ,1.003835,T ,0.344000 ,
R ,8 ,C ,5 ,N ,70 ,D ,6,Rate ,1.004703,T ,0.369000 ,
R ,8 ,C ,5 ,N ,70 ,D ,8,Rate ,1.007630,T ,0.499000 ,
R ,8 ,C ,5 ,N ,70 ,D ,10,Rate ,1.006797,T ,0.608000 ,
R ,8 ,C ,5 ,N ,70 ,D ,12,Rate ,1.002999,T ,0.564000 ,
R ,8 ,C ,5 ,N ,70 ,D ,14,Rate ,1.008507,T ,0.700000 ,
R ,8 ,C ,5 ,N ,70 ,D ,16,Rate ,1.012340,T ,1.163000 ,
