R ,64,C ,64,N ,70,D ,2,Rate ,1,T ,0.025
R ,64,C ,64,N ,70,D ,3,Rate ,1,T ,0.03
R ,64,C ,64,N ,70,D ,4,Rate ,1.005848,T ,0.028
R ,64,C ,64,N ,70,D ,5,Rate ,1.003953,T ,0.039
R ,64,C ,64,N ,70,D ,6,Rate ,1,T ,0.058
R ,64,C ,64,N ,70,D ,8,Rate ,1.010941,T ,0.069
R ,64,C ,64,N ,70,D ,10,Rate ,1.001587,T ,0.084
R ,64,C ,64,N ,70,D ,12,Rate ,1.007947,T ,0.118
R ,64,C ,64,N ,70,D ,14,Rate ,1.003319,T ,0.137
R ,64,C ,64,N ,70,D ,16,Rate ,1.003887,T ,0.185
R ,64,C ,64,N ,70,D ,18,Rate ,1.001675,T ,0.191
R ,64,C ,64,N ,70,D ,20,Rate ,1.001505,T ,0.204
R ,64,C ,64,N ,70,D ,25,Rate ,1.004225,T ,0.336
R ,64,C ,64,N ,70,D ,30,Rate ,1.001474,T ,0.437
R ,64,C ,64,N ,80,D ,1,Rate ,1,T ,0.025
R ,64,C ,64,N ,80,D ,2,Rate ,1.022727,T ,0.033
R ,64,C ,64,N ,80,D ,3,Rate ,1.012048,T ,0.037
R ,64,C ,64,N ,80,D ,4,Rate ,1,T ,0.041
R ,64,C ,64,N ,80,D ,5,Rate ,1,T ,0.045
R ,64,C ,64,N ,80,D ,6,Rate ,1.010695,T ,0.062
R ,64,C ,64,N ,80,D ,8,Rate ,1.00363,T ,0.074
R ,64,C ,64,N ,80,D ,10,Rate ,1.007133,T ,0.101
R ,64,C ,64,N ,80,D ,12,Rate ,1.005862,T ,0.128
R ,64,C ,64,N ,80,D ,14,Rate ,1.000964,T ,0.144
R ,64,C ,64,N ,80,D ,16,Rate ,1.002549,T ,0.194
R ,64,C ,64,N ,80,D ,18,Rate ,1.001504,T ,0.206
R ,64,C ,64,N ,80,D ,20,Rate ,1.002009,T ,0.26
R ,64,C ,64,N ,80,D ,25,Rate ,1.003115,T ,0.409
R ,64,C ,64,N ,80,D ,30,Rate ,1.001721,T ,0.546
R ,64,C ,64,N ,90,D ,1,Rate ,1.022222,T ,0.037
R ,64,C ,64,N ,90,D ,2,Rate ,1,T ,0.042
R ,64,C ,64,N ,90,D ,3,Rate ,1.005155,T ,0.039
R ,64,C ,64,N ,90,D ,4,Rate ,1,T ,0.051
R ,64,C ,64,N ,90,D ,5,Rate ,1.003021,T ,0.066
R ,64,C ,64,N ,90,D ,6,Rate ,1.002309,T ,0.074
R ,64,C ,64,N ,90,D ,8,Rate ,1.004762,T ,0.098
R ,64,C ,64,N ,90,D ,10,Rate ,1.002484,T ,0.116
R ,64,C ,64,N ,90,D ,12,Rate ,1.001021,T ,0.17
