R ,5 ,C ,4 ,N ,10 ,D ,1,Rate ,1.000000,T ,0.006000 ,
R ,5 ,C ,4 ,N ,10 ,D ,2,Rate ,1.000000,T ,0.006000 ,
R ,5 ,C ,4 ,N ,10 ,D ,3,Rate ,1.000000,T ,0.007000 ,
R ,5 ,C ,4 ,N ,10 ,D ,4,Rate ,1.000000,T ,0.005000 ,
R ,5 ,C ,4 ,N ,10 ,D ,5,Rate ,1.027027,T ,0.008000 ,
R ,5 ,C ,4 ,N ,10 ,D ,6,Rate ,1.090909,T ,0.010000 ,
R ,5 ,C ,4 ,N ,10 ,D ,8,Rate ,1.062500,T ,0.012000 ,
R ,5 ,C ,4 ,N ,10 ,D ,10,Rate ,1.023529,T ,0.013000 ,
R ,5 ,C ,4 ,N ,10 ,D ,12,Rate ,1.000000,T ,0.017000 ,
R ,5 ,C ,4 ,N ,10 ,D ,14,Rate ,1.008264,T ,0.019000 ,
R ,5 ,C ,4 ,N ,10 ,D ,16,Rate ,1.000000,T ,0.025000 ,
R ,5 ,C ,4 ,N ,10 ,D ,18,Rate ,1.006061,T ,0.039000 ,
R ,5 ,C ,4 ,N ,10 ,D ,20,Rate ,1.000000,T ,0.024000 ,
R ,5 ,C ,4 ,N ,10 ,D ,25,Rate ,1.000000,T ,0.027000 ,
R ,5 ,C ,4 ,N ,10 ,D ,30,Rate ,1.000000,T ,0.026000 ,
R ,5 ,C ,4 ,N ,20 ,D ,1,Rate ,1.100000,T ,0.009000 ,
R ,5 ,C ,4 ,N ,20 ,D ,2,Rate ,1.037037,T ,0.008000 ,
R ,5 ,C ,4 ,N ,20 ,D ,3,Rate ,1.028571,T ,0.009000 ,
R ,5 ,C ,4 ,N ,20 ,D ,4,Rate ,1.000000,T ,0.009000 ,
R ,5 ,C ,4 ,N ,20 ,D ,5,Rate ,1.078947,T ,0.017000 ,
R ,5 ,C ,4 ,N ,20 ,D ,6,Rate ,1.031579,T ,0.014000 ,
R ,5 ,C ,4 ,N ,20 ,D ,8,Rate ,1.007752,T ,0.020000 ,
R ,5 ,C ,4 ,N ,20 ,D ,10,Rate ,1.011364,T ,0.033000 ,
R ,5 ,C ,4 ,N ,20 ,D ,12,Rate ,1.009390,T ,0.028000 ,
R ,5 ,C ,4 ,N ,20 ,D ,14,Rate ,1.007813,T ,0.042000 ,
R ,5 ,C ,4 ,N ,20 ,D ,16,Rate ,1.000000,T ,0.058000 ,
R ,5 ,C ,4 ,N ,20 ,D ,18,Rate ,1.006042,T ,0.062000 ,
R ,5 ,C ,4 ,N ,20 ,D ,20,Rate ,1.002674,T ,0.061000 ,
R ,5 ,C ,4 ,N ,20 ,D ,25,Rate ,1.004255,T ,0.154000 ,
R ,5 ,C ,4 ,N ,20 ,D ,30,Rate ,1.005272,T ,0.186000 ,
R ,5 ,C ,4 ,N ,30 ,D ,1,Rate ,1.033333,T ,0.010000 ,
R ,5 ,C ,4 ,N ,30 ,D ,2,Rate ,1.044444,T ,0.013000 ,
R ,5 ,C ,4 ,N ,30 ,D ,3,Rate ,1.000000,T ,0.013000 ,
R ,5 ,C ,4 ,N ,30 ,D ,4,Rate ,1.054795,T ,0.011000 ,
R ,5 ,C ,4 ,N ,30 ,D ,5,Rate ,1.033898,T ,0.022000 ,
R ,5 ,C ,4 ,N ,30 ,D ,6,Rate ,1.083333,T ,0.034000 ,
R ,5 ,C ,4 ,N ,30 ,D ,8,Rate ,1.064677,T ,0.037000 ,
R ,5 ,C ,4 ,N ,30 ,D ,10,Rate ,1.047059,T ,0.048000 ,
R ,5 ,C ,4 ,N ,30 ,D ,12,Rate ,1.022801,T ,0.093000 ,
R ,5 ,C ,4 ,N ,30 ,D ,14,Rate ,1.015873,T ,0.116000 ,
R ,5 ,C ,4 ,N ,30 ,D ,16,Rate ,1.013857,T ,0.172000 ,
R ,5 ,C ,4 ,N ,30 ,D ,18,Rate ,1.008016,T ,0.154000 ,
R ,5 ,C ,4 ,N ,30 ,D ,20,Rate ,1.008865,T ,0.204000 ,
