R ,8 ,C ,5 ,N ,50 ,D ,5,Rate ,1.066667,T ,0.038000 ,
R ,8 ,C ,5 ,N ,50 ,D ,6,Rate ,1.064815,T ,0.035000 ,
R ,8 ,C ,5 ,N ,50 ,D ,8,Rate ,1.012461,T ,0.059000 ,
R ,8 ,C ,5 ,N ,50 ,D ,10,Rate ,1.014052,T ,0.100000 ,
R ,8 ,C ,5 ,N ,50 ,D ,12,Rate ,1.023766,T ,0.127000 ,
R ,8 ,C ,5 ,N ,50 ,D ,14,Rate ,1.009479,T ,0.128000 ,
R ,8 ,C ,5 ,N ,50 ,D ,16,Rate ,1.020436,T ,0.216000 ,
R ,8 ,C ,5 ,N ,50 ,D ,18,Rate ,1.020556,T ,0.421000 ,
R ,8 ,C ,5 ,N ,50 ,D ,20,Rate ,1.011841,T ,0.361000 ,
R ,8 ,C ,5 ,N ,50 ,D ,25,Rate ,1.005983,T ,0.868000 ,
R ,8 ,C ,5 ,N ,50 ,D ,30,Rate ,1.007736,T ,0.805000 ,
R ,8 ,C ,5 ,N ,50 ,D ,35,Rate ,1.008918,T ,1.478000 ,
R ,8 ,C ,5 ,N ,60 ,D ,1,Rate ,1.000000,T ,0.022000 ,
R ,8 ,C ,5 ,N ,60 ,D ,2,Rate ,1.051020,T ,0.027000 ,
R ,8 ,C ,5 ,N ,60 ,D ,3,Rate ,1.018018,T ,0.022000 ,
R ,8 ,C ,5 ,N ,60 ,D ,4,Rate ,1.027397,T ,0.026000 ,
R ,8 ,C ,5 ,N ,60 ,D ,5,Rate ,1.055300,T ,0.037000 ,
R ,8 ,C ,5 ,N ,60 ,D ,6,Rate ,1.101124,T ,0.061000 ,
R ,8 ,C ,5 ,N ,60 ,D ,8,Rate ,1.056701,T ,0.090000 ,
R ,8 ,C ,5 ,N ,60 ,D ,10,Rate ,1.024809,T ,0.153000 ,
R ,8 ,C ,5 ,N ,60 ,D ,12,Rate ,1.017685,T ,0.147000 ,
R ,8 ,C ,5 ,N ,60 ,D ,14,Rate ,1.023377,T ,0.357000 ,
R ,8 ,C ,5 ,N ,60 ,D ,16,Rate ,1.009324,T ,0.360000 ,
R ,8 ,C ,5 ,N ,60 ,D ,18,Rate ,1.013000,T ,0.456000 ,
R ,8 ,C ,5 ,N ,60 ,D ,20,Rate ,1.008865,T ,0.719000 ,
R ,8 ,C ,5 ,N ,60 ,D ,25,Rate ,1.014399,T ,0.770000 ,
R ,8 ,C ,5 ,N ,60 ,D ,30,Rate ,1.011648,T ,1.671000 ,
R ,8 ,C ,5 ,N ,60 ,D ,35,Rate ,1.007917,T ,2.850000 ,
R ,8 ,C ,5 ,N ,70 ,D ,1,Rate ,1.014286,T ,0.029000 ,
R ,8 ,C ,5 ,N ,70 ,D ,2,Rate ,1.027027,T ,0.028000 ,
R ,8 ,C ,5 ,N ,70 ,D ,3,Rate ,1.095588,T ,0.043000 ,
R ,8 ,C ,5 ,N ,70 ,D ,4,Rate ,1.050279,T ,0.040000 ,
R ,8 ,C ,5 ,N ,70 ,D ,5,Rate ,1.122951,T ,0.068000 ,
R ,8 ,C ,5 ,N ,70 ,D ,6,Rate ,1.066879,T ,0.085000 ,
R ,8 ,C ,5 ,N ,70 ,D ,8,Rate ,1.062907,T ,0.098000 ,
R ,8 ,C ,5 ,N ,70 ,D ,10,Rate ,1.047297,T ,0.177000 ,
R ,8 ,C ,5 ,N ,70 ,D ,12,Rate ,1.025815,T ,0.287000 ,
R ,8 ,C ,5 ,N ,70 ,D ,14,Rate ,1.018038,T ,0.405000 ,
R ,8 ,C ,5 ,N ,70 ,D ,16,Rate ,1.020710,T ,0.460000 ,
R ,8 ,C ,5 ,N ,70 ,D ,18,Rate ,1.019081,T ,0.745000 ,
R ,8 ,C ,5 ,N ,70 ,D ,20,Rate ,1.017885,T ,1.005000 ,
R ,8 ,C ,5 ,N ,70 ,D ,25,Rate ,1.013881,T ,2.586000 ,
R ,8 ,C ,5 ,N ,70 ,D ,30,Rate ,1.016008,T ,3.256000 ,
R ,8 ,C ,5 ,N ,70 ,D ,35,Rate ,1.008554,T ,2.191000 ,
R ,8 ,C ,5 ,N ,80 ,D ,1,Rate ,1.050000,T ,0.045000 ,
R ,8 ,C ,5 ,N ,80 ,D ,2,Rate ,1.039370,T ,0.042000 ,
R ,8 ,C ,5 ,N ,80 ,D ,3,Rate ,1.050000,T ,0.037000 ,
R ,8 ,C ,5 ,N ,80 ,D ,4,Rate ,1.104167,T ,0.059000 ,
R ,8 ,C ,5 ,N ,80 ,D ,5,Rate ,1.091837,T ,0.073000 ,
R ,8 ,C ,5 ,N ,80 ,D ,6,Rate ,1.100000,T ,0.107000 ,
R ,8 ,C ,5 ,N ,80 ,D ,8,Rate ,1.030246,T ,0.138000 ,
R ,8 ,C ,5 ,N ,80 ,D ,10,Rate ,1.042274,T ,0.298000 ,
R ,8 ,C ,5 ,N ,80 ,D ,12,Rate ,1.031325,T ,0.372000 ,
R ,8 ,C ,5 ,N ,80 ,D ,14,Rate ,1.037717,T ,0.647000 ,
R ,8 ,C ,5 ,N ,80 ,D ,16,Rate ,1.022128,T ,0.602000 ,
R ,8 ,C ,5 ,N ,80 ,D ,18,Rate ,1.021277,T ,1.054000 ,
R ,8 ,C ,5 ,N ,80 ,D ,20,Rate ,1.020750,T ,1.610000 ,
R ,8 ,C ,5 ,N ,80 ,D ,25,Rate ,1.018509,T ,3.461000 ,
R ,8 ,C ,5 ,N ,80 ,D ,30,Rate ,1.010052,T ,3.193000 ,
R ,8 ,C ,5 ,N ,80 ,D ,35,Rate ,1.006343,T ,4.873000 ,
R ,8 ,C ,5 ,N ,90 ,D ,1,Rate ,1.055556,T ,0.047000 ,
R ,8 ,C ,5 ,N ,90 ,D ,2,Rate ,1.078571,T ,0.047000 ,
R ,8 ,C ,5 ,N ,90 ,D ,3,Rate ,1.097143,T ,0.051000 ,
R ,8 ,C ,5 ,N ,90 ,D ,4,Rate ,1.093333,T ,0.065000 ,
R ,8 ,C ,5 ,N ,90 ,D ,5,Rate ,1.102649,T ,0.093000 ,
R ,8 ,C ,5 ,N ,90 ,D ,6,Rate ,1.113990,T ,0.148000 ,
R ,8 ,C ,5 ,N ,90 ,D ,8,Rate ,1.074913,T ,0.216000 ,
R ,8 ,C ,5 ,N ,90 ,D ,10,Rate ,1.054305,T ,0.359000 ,
R ,8 ,C ,5 ,N ,90 ,D ,12,Rate ,1.024845,T ,0.429000 ,
R ,8 ,C ,5 ,N ,90 ,D ,14,Rate ,1.028520,T ,0.631000 ,
R ,8 ,C ,5 ,N ,90 ,D ,16,Rate ,1.022053,T ,1.102000 ,
R ,8 ,C ,5 ,N ,90 ,D ,18,Rate ,1.031522,T ,2.031000 ,
R ,8 ,C ,5 ,N ,90 ,D ,20,Rate ,1.026731,T ,1.517000 ,
R ,8 ,C ,5 ,N ,90 ,D ,25,Rate ,1.023190,T ,3.653000 ,
R ,8 ,C ,5 ,N ,90 ,D ,30,Rate ,1.012100,T ,4.779000 ,
R ,8 ,C ,5 ,N ,90 ,D ,35,Rate ,1.008306,T ,7.403000 ,
R ,8 ,C ,5 ,N ,100 ,D ,1,Rate ,1.070000,T ,0.055000 ,
R ,8 ,C ,5 ,N ,100 ,D ,2,Rate ,1.086667,T ,0.055000 ,
R ,8 ,C ,5 ,N ,100 ,D ,3,Rate ,1.079208,T ,0.063000 ,
R ,8 ,C ,5 ,N ,100 ,D ,4,Rate ,1.105485,T ,0.079000 ,
R ,8 ,C ,5 ,N ,100 ,D ,5,Rate ,1.100000,T ,0.100000 ,
R ,8 ,C ,5 ,N ,100 ,D ,6,Rate ,1.079186,T ,0.120000 ,
R ,8 ,C ,5 ,N ,100 ,D ,8,Rate ,1.079755,T ,0.319000 ,
R ,8 ,C ,5 ,N ,100 ,D ,10,Rate ,1.053864,T ,0.516000 ,
R ,8 ,C ,5 ,N ,100 ,D ,12,Rate ,1.051282,T ,0.678000 ,
