R ,8 ,C ,5 ,N ,300 ,D ,5,Rate ,1.280464,T ,2.897000 ,
R ,8 ,C ,5 ,N ,300 ,D ,6,Rate ,1.243580,T ,4.305000 ,
R ,8 ,C ,5 ,N ,300 ,D ,8,Rate ,1.215897,T ,8.724000 ,
R ,8 ,C ,5 ,N ,300 ,D ,10,Rate ,1.201490,T ,20.624000 ,
R ,8 ,C ,5 ,N ,300 ,D ,12,Rate ,1.230475,T ,55.161000 ,
R ,8 ,C ,5 ,N ,300 ,D ,14,Rate ,1.223940,T ,110.903000 ,
R ,8 ,C ,5 ,N ,350 ,D ,1,Rate ,1.314286,T ,1.099000 ,
R ,8 ,C ,5 ,N ,350 ,D ,2,Rate ,1.258317,T ,1.139000 ,
R ,8 ,C ,5 ,N ,350 ,D ,3,Rate ,1.263598,T ,1.667000 ,
R ,8 ,C ,5 ,N ,350 ,D ,4,Rate ,1.261905,T ,2.030000 ,
R ,8 ,C ,5 ,N ,350 ,D ,5,Rate ,1.274180,T ,3.643000 ,
R ,8 ,C ,5 ,N ,350 ,D ,6,Rate ,1.303050,T ,7.046000 ,
R ,8 ,C ,5 ,N ,350 ,D ,8,Rate ,1.326087,T ,26.551000 ,
R ,8 ,C ,5 ,N ,350 ,D ,10,Rate ,1.285858,T ,48.304000 ,
R ,8 ,C ,5 ,N ,400 ,D ,1,Rate ,1.382500,T ,1.658000 ,
R ,8 ,C ,5 ,N ,400 ,D ,2,Rate ,1.273790,T ,1.578000 ,
R ,8 ,C ,5 ,N ,400 ,D ,3,Rate ,1.358722,T ,2.756000 ,
R ,8 ,C ,5 ,N ,400 ,D ,4,Rate ,1.381874,T ,4.425000 ,
R ,8 ,C ,5 ,N ,400 ,D ,5,Rate ,1.369022,T ,7.382000 ,
R ,8 ,C ,5 ,N ,400 ,D ,6,Rate ,1.402004,T ,16.547000 ,
R ,8 ,C ,5 ,N ,400 ,D ,8,Rate ,1.417663,T ,37.675000 ,
R ,8 ,C ,5 ,N ,400 ,D ,10,Rate ,1.573127,T ,190.292000 ,
R ,8 ,C ,5 ,N ,450 ,D ,1,Rate ,1.491111,T ,2.068000 ,
R ,8 ,C ,5 ,N ,450 ,D ,2,Rate ,1.379822,T ,2.473000 ,
R ,8 ,C ,5 ,N ,450 ,D ,3,Rate ,1.379845,T ,4.142000 ,
R ,8 ,C ,5 ,N ,450 ,D ,4,Rate ,1.406621,T ,6.284000 ,
R ,8 ,C ,5 ,N ,450 ,D ,5,Rate ,1.531170,T ,15.526000 ,
R ,8 ,C ,5 ,N ,450 ,D ,6,Rate ,1.530422,T ,31.288000 ,
R ,8 ,C ,5 ,N ,450 ,D ,8,Rate ,1.737487,T ,118.563000 ,
R ,8 ,C ,5 ,N ,500 ,D ,1,Rate ,1.548000,T ,2.712000 ,
R ,8 ,C ,5 ,N ,500 ,D ,2,Rate ,1.505305,T ,4.611000 ,
R ,8 ,C ,5 ,N ,500 ,D ,3,Rate ,1.447000,T ,6.031000 ,
R ,8 ,C ,5 ,N ,500 ,D ,4,Rate ,1.527302,T ,9.001000 ,
R ,8 ,C ,5 ,N ,500 ,D ,5,Rate ,1.611143,T ,22.470000 ,
R ,8 ,C ,5 ,N ,500 ,D ,6,Rate ,1.863456,T ,66.180000 ,
R ,8 ,C ,5 ,N ,500 ,D ,8,Rate ,2.064324,T ,153.356000 ,
R ,8 ,C ,5 ,N ,500 ,D ,1,Rate ,1.536000,T ,2.450000 ,
R ,8 ,C ,5 ,N ,500 ,D ,2,Rate ,1.486945,T ,4.562000 ,
R ,8 ,C ,5 ,N ,500 ,D ,3,Rate ,1.455090,T ,6.330000 ,
R ,8 ,C ,5 ,N ,500 ,D ,4,Rate ,1.517241,T ,9.572000 ,
R ,8 ,C ,5 ,N ,500 ,D ,5,Rate ,1.724871,T ,25.329000 ,
R ,8 ,C ,5 ,N ,500 ,D ,6,Rate ,1.758100,T ,63.135000 ,
R ,8 ,C ,5 ,N ,500 ,D ,8,Rate ,2.010753,T ,198.446000 ,
R ,8 ,C ,5 ,N ,550 ,D ,1,Rate ,1.603636,T ,3.889000 ,
R ,8 ,C ,5 ,N ,550 ,D ,2,Rate ,1.561237,T ,6.236000 ,
R ,8 ,C ,5 ,N ,550 ,D ,3,Rate ,1.617306,T ,10.419000 ,
R ,8 ,C ,5 ,N ,550 ,D ,4,Rate ,1.680959,T ,15.722000 ,
R ,8 ,C ,5 ,N ,550 ,D ,5,Rate ,2.037264,T ,46.839000 ,
R ,8 ,C ,5 ,N ,550 ,D ,6,Rate ,2.163934,T ,78.319000 ,
R ,8 ,C ,5 ,N ,550 ,D ,8,Rate ,2.178400,T ,173.268000 ,
R ,8 ,C ,5 ,N ,600 ,D ,1,Rate ,1.721667,T ,5.139000 ,
R ,8 ,C ,5 ,N ,600 ,D ,2,Rate ,1.721547,T ,11.156000 ,
R ,8 ,C ,5 ,N ,600 ,D ,3,Rate ,1.841216,T ,16.179000 ,
R ,8 ,C ,5 ,N ,600 ,D ,4,Rate ,1.992725,T ,32.181000 ,
R ,8 ,C ,5 ,N ,600 ,D ,5,Rate ,2.255933,T ,56.169000 ,
R ,8 ,C ,5 ,N ,600 ,D ,6,Rate ,2.309297,T ,97.570000 ,
R ,8 ,C ,5 ,N ,600 ,D ,8,Rate ,2.219038,T ,171.057000 ,
R ,8 ,C ,5 ,N ,10 ,D ,1,Rate ,1.000000,T ,0.783000 ,
R ,8 ,C ,5 ,N ,10 ,D ,2,Rate ,1.000000,T ,0.006000 ,
R ,8 ,C ,5 ,N ,10 ,D ,3,Rate ,1.095238,T ,0.007000 ,
R ,8 ,C ,5 ,N ,10 ,D ,4,Rate ,1.000000,T ,0.008000 ,
R ,8 ,C ,5 ,N ,10 ,D ,5,Rate ,1.000000,T ,0.006000 ,
R ,8 ,C ,5 ,N ,10 ,D ,6,Rate ,1.041667,T ,0.010000 ,
R ,8 ,C ,5 ,N ,10 ,D ,8,Rate ,1.052632,T ,0.010000 ,
R ,8 ,C ,5 ,N ,10 ,D ,10,Rate ,1.000000,T ,0.015000 ,
R ,8 ,C ,5 ,N ,10 ,D ,12,Rate ,1.009524,T ,0.013000 ,
R ,8 ,C ,5 ,N ,10 ,D ,14,Rate ,1.032787,T ,0.021000 ,
R ,8 ,C ,5 ,N ,10 ,D ,16,Rate ,1.013605,T ,0.029000 ,
R ,8 ,C ,5 ,N ,10 ,D ,18,Rate ,1.006024,T ,0.021000 ,
R ,8 ,C ,5 ,N ,10 ,D ,20,Rate ,1.000000,T ,0.017000 ,
R ,8 ,C ,5 ,N ,10 ,D ,25,Rate ,1.000000,T ,0.029000 ,
R ,8 ,C ,5 ,N ,10 ,D ,30,Rate ,1.000000,T ,0.034000 ,
R ,8 ,C ,5 ,N ,20 ,D ,1,Rate ,1.000000,T ,0.008000 ,
R ,8 ,C ,5 ,N ,20 ,D ,2,Rate ,1.031250,T ,0.010000 ,
R ,8 ,C ,5 ,N ,20 ,D ,3,Rate ,1.048780,T ,0.008000 ,
R ,8 ,C ,5 ,N ,20 ,D ,4,Rate ,1.032258,T ,0.011000 ,
R ,8 ,C ,5 ,N ,20 ,D ,5,Rate ,1.027397,T ,0.010000 ,
R ,8 ,C ,5 ,N ,20 ,D ,6,Rate ,1.021978,T ,0.011000 ,
R ,8 ,C ,5 ,N ,20 ,D ,8,Rate ,1.043796,T ,0.019000 ,
R ,8 ,C ,5 ,N ,20 ,D ,10,Rate ,1.025000,T ,0.034000 ,
R ,8 ,C ,5 ,N ,20 ,D ,12,Rate ,1.019231,T ,0.022000 ,
R ,8 ,C ,5 ,N ,20 ,D ,14,Rate ,1.000000,T ,0.021000 ,
R ,8 ,C ,5 ,N ,20 ,D ,16,Rate ,1.017730,T ,0.039000 ,
R ,8 ,C ,5 ,N ,20 ,D ,18,Rate ,1.003077,T ,0.035000 ,
R ,8 ,C ,5 ,N ,20 ,D ,20,Rate ,1.002710,T ,0.049000 ,
R ,8 ,C ,5 ,N ,20 ,D ,25,Rate ,1.010707,T ,0.124000 ,
R ,8 ,C ,5 ,N ,20 ,D ,30,Rate ,1.003472,T ,0.129000 ,
R ,8 ,C ,5 ,N ,30 ,D ,1,Rate ,1.000000,T ,0.011000 ,
R ,8 ,C ,5 ,N ,30 ,D ,2,Rate ,1.060000,T ,0.011000 ,
R ,8 ,C ,5 ,N ,30 ,D ,3,Rate ,1.000000,T ,0.010000 ,
R ,8 ,C ,5 ,N ,30 ,D ,4,Rate ,1.028169,T ,0.011000 ,
R ,8 ,C ,5 ,N ,30 ,D ,5,Rate ,1.038462,T ,0.018000 ,
R ,8 ,C ,5 ,N ,30 ,D ,6,Rate ,1.078571,T ,0.020000 ,
R ,8 ,C ,5 ,N ,30 ,D ,8,Rate ,1.042781,T ,0.025000 ,
R ,8 ,C ,5 ,N ,30 ,D ,10,Rate ,1.003774,T ,0.040000 ,
R ,8 ,C ,5 ,N ,30 ,D ,12,Rate ,1.003096,T ,0.041000 ,
R ,8 ,C ,5 ,N ,30 ,D ,14,Rate ,1.005435,T ,0.049000 ,
R ,8 ,C ,5 ,N ,30 ,D ,16,Rate ,1.004464,T ,0.113000 ,
R ,8 ,C ,5 ,N ,30 ,D ,18,Rate ,1.009901,T ,0.092000 ,
R ,8 ,C ,5 ,N ,30 ,D ,20,Rate ,1.001789,T ,0.160000 ,
R ,8 ,C ,5 ,N ,30 ,D ,25,Rate ,1.001397,T ,0.221000 ,
R ,8 ,C ,5 ,N ,30 ,D ,30,Rate ,1.001167,T ,0.285000 ,
R ,8 ,C ,5 ,N ,40 ,D ,1,Rate ,1.050000,T ,0.013000 ,
R ,8 ,C ,5 ,N ,40 ,D ,2,Rate ,1.083333,T ,0.017000 ,
R ,8 ,C ,5 ,N ,40 ,D ,3,Rate ,1.011765,T ,0.015000 ,
R ,8 ,C ,5 ,N ,40 ,D ,4,Rate ,1.071429,T ,0.022000 ,
R ,8 ,C ,5 ,N ,40 ,D ,5,Rate ,1.076923,T ,0.026000 ,
R ,8 ,C ,5 ,N ,40 ,D ,6,Rate ,1.054054,T ,0.031000 ,
R ,8 ,C ,5 ,N ,40 ,D ,8,Rate ,1.026718,T ,0.045000 ,
R ,8 ,C ,5 ,N ,40 ,D ,10,Rate ,1.033639,T ,0.064000 ,
R ,8 ,C ,5 ,N ,40 ,D ,12,Rate ,1.016588,T ,0.065000 ,
R ,8 ,C ,5 ,N ,40 ,D ,14,Rate ,1.005929,T ,0.152000 ,
R ,8 ,C ,5 ,N ,40 ,D ,16,Rate ,1.013793,T ,0.153000 ,
R ,8 ,C ,5 ,N ,40 ,D ,18,Rate ,1.009119,T ,0.211000 ,
R ,8 ,C ,5 ,N ,40 ,D ,20,Rate ,1.010825,T ,0.292000 ,
R ,8 ,C ,5 ,N ,40 ,D ,25,Rate ,1.004242,T ,0.307000 ,
R ,8 ,C ,5 ,N ,40 ,D ,30,Rate ,1.001754,T ,0.466000 ,
R ,8 ,C ,5 ,N ,50 ,D ,1,Rate ,1.100000,T ,0.017000 ,
R ,8 ,C ,5 ,N ,50 ,D ,2,Rate ,1.057971,T ,0.020000 ,
R ,8 ,C ,5 ,N ,50 ,D ,3,Rate ,1.029703,T ,0.020000 ,
R ,8 ,C ,5 ,N ,50 ,D ,4,Rate ,1.104478,T ,0.024000 ,
R ,8 ,C ,5 ,N ,50 ,D ,5,Rate ,1.066298,T ,0.027000 ,
R ,8 ,C ,5 ,N ,50 ,D ,6,Rate ,1.109005,T ,0.042000 ,
R ,8 ,C ,5 ,N ,50 ,D ,8,Rate ,1.053459,T ,0.067000 ,
R ,8 ,C ,5 ,N ,50 ,D ,10,Rate ,1.035545,T ,0.083000 ,
R ,8 ,C ,5 ,N ,50 ,D ,12,Rate ,1.015066,T ,0.108000 ,
R ,8 ,C ,5 ,N ,50 ,D ,14,Rate ,1.016340,T ,0.170000 ,
R ,8 ,C ,5 ,N ,50 ,D ,16,Rate ,1.016327,T ,0.217000 ,
R ,8 ,C ,5 ,N ,50 ,D ,18,Rate ,1.012270,T ,0.232000 ,
R ,8 ,C ,5 ,N ,50 ,D ,20,Rate ,1.016358,T ,0.382000 ,
R ,8 ,C ,5 ,N ,50 ,D ,25,Rate ,1.011874,T ,0.682000 ,
R ,8 ,C ,5 ,N ,50 ,D ,30,Rate ,1.004947,T ,0.700000 ,
R ,8 ,C ,5 ,N ,60 ,D ,1,Rate ,1.066667,T ,0.021000 ,
R ,8 ,C ,5 ,N ,60 ,D ,2,Rate ,1.011494,T ,0.019000 ,
R ,8 ,C ,5 ,N ,60 ,D ,3,Rate ,1.034483,T ,0.024000 ,
R ,8 ,C ,5 ,N ,60 ,D ,4,Rate ,1.096774,T ,0.048000 ,
R ,8 ,C ,5 ,N ,60 ,D ,5,Rate ,1.062201,T ,0.043000 ,
R ,8 ,C ,5 ,N ,60 ,D ,6,Rate ,1.039841,T ,0.047000 ,
R ,8 ,C ,5 ,N ,60 ,D ,8,Rate ,1.034739,T ,0.088000 ,
R ,8 ,C ,5 ,N ,60 ,D ,10,Rate ,1.023576,T ,0.138000 ,
R ,8 ,C ,5 ,N ,60 ,D ,12,Rate ,1.020867,T ,0.174000 ,
R ,8 ,C ,5 ,N ,60 ,D ,14,Rate ,1.027888,T ,0.299000 ,
R ,8 ,C ,5 ,N ,60 ,D ,16,Rate ,1.009185,T ,0.291000 ,
R ,8 ,C ,5 ,N ,60 ,D ,18,Rate ,1.016393,T ,0.530000 ,
R ,8 ,C ,5 ,N ,60 ,D ,20,Rate ,1.019784,T ,0.379000 ,
R ,8 ,C ,5 ,N ,60 ,D ,25,Rate ,1.007807,T ,0.776000 ,
R ,8 ,C ,5 ,N ,60 ,D ,30,Rate ,1.007084,T ,1.117000 ,
R ,8 ,C ,5 ,N ,70 ,D ,1,Rate ,1.042857,T ,0.026000 ,
R ,8 ,C ,5 ,N ,70 ,D ,2,Rate ,1.037037,T ,0.027000 ,
R ,8 ,C ,5 ,N ,70 ,D ,3,Rate ,1.032520,T ,0.028000 ,
R ,8 ,C ,5 ,N ,70 ,D ,4,Rate ,1.043750,T ,0.045000 ,
R ,8 ,C ,5 ,N ,70 ,D ,5,Rate ,1.064103,T ,0.041000 ,
R ,8 ,C ,5 ,N ,70 ,D ,6,Rate ,1.031348,T ,0.058000 ,
R ,8 ,C ,5 ,N ,70 ,D ,8,Rate ,1.063063,T ,0.105000 ,
R ,8 ,C ,5 ,N ,70 ,D ,10,Rate ,1.023102,T ,0.154000 ,
R ,8 ,C ,5 ,N ,70 ,D ,12,Rate ,1.033693,T ,0.255000 ,
R ,8 ,C ,5 ,N ,70 ,D ,14,Rate ,1.023756,T ,0.604000 ,
R ,8 ,C ,5 ,N ,70 ,D ,16,Rate ,1.027723,T ,0.571000 ,
R ,8 ,C ,5 ,N ,70 ,D ,18,Rate ,1.014122,T ,0.499000 ,
R ,8 ,C ,5 ,N ,70 ,D ,20,Rate ,1.012520,T ,0.896000 ,
R ,8 ,C ,5 ,N ,70 ,D ,25,Rate ,1.012658,T ,1.907000 ,
R ,8 ,C ,5 ,N ,70 ,D ,30,Rate ,1.013059,T ,2.883000 ,
R ,8 ,C ,5 ,N ,80 ,D ,1,Rate ,1.112500,T ,0.037000 ,
R ,8 ,C ,5 ,N ,80 ,D ,2,Rate ,1.016949,T ,0.030000 ,
R ,8 ,C ,5 ,N ,80 ,D ,3,Rate ,1.042424,T ,0.041000 ,
R ,8 ,C ,5 ,N ,80 ,D ,4,Rate ,1.055276,T ,0.038000 ,
R ,8 ,C ,5 ,N ,80 ,D ,5,Rate ,1.096429,T ,0.060000 ,
R ,8 ,C ,5 ,N ,80 ,D ,6,Rate ,1.063712,T ,0.078000 ,
R ,8 ,C ,5 ,N ,80 ,D ,8,Rate ,1.059615,T ,0.128000 ,
R ,8 ,C ,5 ,N ,80 ,D ,10,Rate ,1.025449,T ,0.191000 ,
R ,8 ,C ,5 ,N ,80 ,D ,12,Rate ,1.031515,T ,0.325000 ,
R ,8 ,C ,5 ,N ,80 ,D ,14,Rate ,1.018200,T ,0.439000 ,
R ,8 ,C ,5 ,N ,80 ,D ,16,Rate ,1.030382,T ,0.835000 ,
R ,8 ,C ,5 ,N ,80 ,D ,18,Rate ,1.021228,T ,0.792000 ,
R ,8 ,C ,5 ,N ,80 ,D ,20,Rate ,1.020847,T ,1.486000 ,
R ,8 ,C ,5 ,N ,80 ,D ,25,Rate ,1.017030,T ,2.607000 ,
R ,8 ,C ,5 ,N ,80 ,D ,30,Rate ,1.006170,T ,1.749000 ,
R ,8 ,C ,5 ,N ,90 ,D ,1,Rate ,1.111111,T ,0.046000 ,
R ,8 ,C ,5 ,N ,90 ,D ,2,Rate ,1.037313,T ,0.035000 ,
R ,8 ,C ,5 ,N ,90 ,D ,3,Rate ,1.061111,T ,0.055000 ,
R ,8 ,C ,5 ,N ,90 ,D ,4,Rate ,1.066667,T ,0.070000 ,
R ,8 ,C ,5 ,N ,90 ,D ,5,Rate ,1.104575,T ,0.094000 ,
R ,8 ,C ,5 ,N ,90 ,D ,6,Rate ,1.126238,T ,0.168000 ,
R ,8 ,C ,5 ,N ,90 ,D ,8,Rate ,1.046075,T ,0.138000 ,
R ,8 ,C ,5 ,N ,90 ,D ,10,Rate ,1.051047,T ,0.322000 ,
R ,8 ,C ,5 ,N ,90 ,D ,12,Rate ,1.024390,T ,0.372000 ,
R ,8 ,C ,5 ,N ,90 ,D ,14,Rate ,1.027482,T ,0.717000 ,
R ,8 ,C ,5 ,N ,90 ,D ,16,Rate ,1.038081,T ,0.992000 ,
R ,8 ,C ,5 ,N ,90 ,D ,18,Rate ,1.028956,T ,1.283000 ,
R ,8 ,C ,5 ,N ,90 ,D ,20,Rate ,1.033433,T ,2.392000 ,
R ,8 ,C ,5 ,N ,90 ,D ,25,Rate ,1.015152,T ,3.685000 ,
R ,8 ,C ,5 ,N ,90 ,D ,30,Rate ,1.012495,T ,3.039000 ,
R ,8 ,C ,5 ,N ,100 ,D ,1,Rate ,1.120000,T ,0.058000 ,
R ,8 ,C ,5 ,N ,100 ,D ,2,Rate ,1.111111,T ,0.066000 ,
R ,8 ,C ,5 ,N ,100 ,D ,3,Rate ,1.083744,T ,0.060000 ,
R ,8 ,C ,5 ,N ,100 ,D ,4,Rate ,1.074074,T ,0.065000 ,
R ,8 ,C ,5 ,N ,100 ,D ,5,Rate ,1.069364,T ,0.089000 ,
R ,8 ,C ,5 ,N ,100 ,D ,6,Rate ,1.107623,T ,0.135000 ,
R ,8 ,C ,5 ,N ,100 ,D ,8,Rate ,1.101404,T ,0.365000 ,
R ,8 ,C ,5 ,N ,100 ,D ,10,Rate ,1.049645,T ,0.412000 ,
R ,8 ,C ,5 ,N ,100 ,D ,12,Rate ,1.043031,T ,0.686000 ,
R ,8 ,C ,5 ,N ,100 ,D ,14,Rate ,1.035885,T ,1.112000 ,
R ,8 ,C ,5 ,N ,100 ,D ,16,Rate ,1.036729,T ,1.885000 ,
R ,8 ,C ,5 ,N ,100 ,D ,18,Rate ,1.029769,T ,1.654000 ,
R ,8 ,C ,5 ,N ,100 ,D ,20,Rate ,1.025932,T ,2.015000 ,
R ,8 ,C ,5 ,N ,100 ,D ,25,Rate ,1.026282,T ,5.706000 ,
R ,8 ,C ,5 ,N ,100 ,D ,30,Rate ,1.020430,T ,8.969000 ,
R ,8 ,C ,5 ,N ,120 ,D ,1,Rate ,1.125000,T ,0.078000 ,
R ,8 ,C ,5 ,N ,120 ,D ,2,Rate ,1.104046,T ,0.087000 ,
R ,8 ,C ,5 ,N ,120 ,D ,3,Rate ,1.088710,T ,0.107000 ,
R ,8 ,C ,5 ,N ,120 ,D ,4,Rate ,1.112319,T ,0.117000 ,
R ,8 ,C ,5 ,N ,120 ,D ,5,Rate ,1.182254,T ,0.205000 ,
R ,8 ,C ,5 ,N ,120 ,D ,6,Rate ,1.099638,T ,0.275000 ,
R ,8 ,C ,5 ,N ,120 ,D ,8,Rate ,1.075853,T ,0.423000 ,
R ,8 ,C ,5 ,N ,120 ,D ,10,Rate ,1.044379,T ,0.620000 ,
R ,8 ,C ,5 ,N ,120 ,D ,12,Rate ,1.061807,T ,1.192000 ,
R ,8 ,C ,5 ,N ,120 ,D ,14,Rate ,1.043771,T ,1.248000 ,
R ,8 ,C ,5 ,N ,120 ,D ,16,Rate ,1.032853,T ,2.108000 ,
R ,8 ,C ,5 ,N ,120 ,D ,18,Rate ,1.048817,T ,4.298000 ,
R ,8 ,C ,5 ,N ,120 ,D ,20,Rate ,1.030804,T ,6.154000 ,
R ,8 ,C ,5 ,N ,120 ,D ,25,Rate ,1.030035,T ,10.740000 ,
R ,8 ,C ,5 ,N ,120 ,D ,30,Rate ,1.043657,T ,28.002000 ,
R ,8 ,C ,5 ,N ,140 ,D ,1,Rate ,1.142857,T ,0.129000 ,
R ,8 ,C ,5 ,N ,140 ,D ,2,Rate ,1.094595,T ,0.088000 ,
R ,8 ,C ,5 ,N ,140 ,D ,3,Rate ,1.126761,T ,0.154000 ,
R ,8 ,C ,5 ,N ,140 ,D ,4,Rate ,1.099398,T ,0.150000 ,
R ,8 ,C ,5 ,N ,140 ,D ,5,Rate ,1.142023,T ,0.277000 ,
R ,8 ,C ,5 ,N ,140 ,D ,6,Rate ,1.091640,T ,0.335000 ,
R ,8 ,C ,5 ,N ,140 ,D ,8,Rate ,1.098343,T ,0.693000 ,
R ,8 ,C ,5 ,N ,140 ,D ,10,Rate ,1.064701,T ,1.148000 ,
R ,8 ,C ,5 ,N ,140 ,D ,12,Rate ,1.056733,T ,1.498000 ,
R ,8 ,C ,5 ,N ,140 ,D ,14,Rate ,1.052209,T ,2.918000 ,
R ,8 ,C ,5 ,N ,140 ,D ,16,Rate ,1.046752,T ,4.156000 ,
R ,8 ,C ,5 ,N ,140 ,D ,18,Rate ,1.062825,T ,10.479000 ,
R ,8 ,C ,5 ,N ,140 ,D ,20,Rate ,1.048468,T ,10.312000 ,
R ,8 ,C ,5 ,N ,140 ,D ,25,Rate ,1.034733,T ,19.869000 ,
R ,8 ,C ,5 ,N ,140 ,D ,30,Rate ,1.058425,T ,60.755000 ,
R ,8 ,C ,5 ,N ,160 ,D ,1,Rate ,1.125000,T ,0.185000 ,
R ,8 ,C ,5 ,N ,160 ,D ,2,Rate ,1.095041,T ,0.123000 ,
R ,8 ,C ,5 ,N ,160 ,D ,3,Rate ,1.131902,T ,0.185000 ,
R ,8 ,C ,5 ,N ,160 ,D ,4,Rate ,1.140351,T ,0.256000 ,
R ,8 ,C ,5 ,N ,160 ,D ,5,Rate ,1.155477,T ,0.450000 ,
R ,8 ,C ,5 ,N ,160 ,D ,6,Rate ,1.110169,T ,0.463000 ,
R ,8 ,C ,5 ,N ,160 ,D ,8,Rate ,1.097795,T ,1.082000 ,
R ,8 ,C ,5 ,N ,160 ,D ,10,Rate ,1.083880,T ,1.893000 ,
R ,8 ,C ,5 ,N ,160 ,D ,12,Rate ,1.072855,T ,2.621000 ,
R ,8 ,C ,5 ,N ,160 ,D ,14,Rate ,1.061912,T ,4.416000 ,
R ,8 ,C ,5 ,N ,160 ,D ,16,Rate ,1.078423,T ,7.699000 ,
R ,8 ,C ,5 ,N ,160 ,D ,18,Rate ,1.068679,T ,11.555000 ,
R ,8 ,C ,5 ,N ,160 ,D ,20,Rate ,1.060310,T ,22.111000 ,
R ,8 ,C ,5 ,N ,160 ,D ,25,Rate ,1.069094,T ,55.184000 ,
R ,8 ,C ,5 ,N ,160 ,D ,30,Rate ,1.066023,T ,77.147000 ,
R ,8 ,C ,5 ,N ,180 ,D ,1,Rate ,1.155556,T ,0.234000 ,
R ,8 ,C ,5 ,N ,180 ,D ,2,Rate ,1.118519,T ,0.213000 ,
R ,8 ,C ,5 ,N ,180 ,D ,3,Rate ,1.124654,T ,0.273000 ,
R ,8 ,C ,5 ,N ,180 ,D ,4,Rate ,1.122622,T ,0.256000 ,
R ,8 ,C ,5 ,N ,180 ,D ,5,Rate ,1.119328,T ,0.421000 ,
R ,8 ,C ,5 ,N ,180 ,D ,6,Rate ,1.146402,T ,0.729000 ,
R ,8 ,C ,5 ,N ,180 ,D ,8,Rate ,1.126388,T ,1.541000 ,
R ,8 ,C ,5 ,N ,180 ,D ,10,Rate ,1.104222,T ,2.578000 ,
R ,8 ,C ,5 ,N ,180 ,D ,12,Rate ,1.104288,T ,4.733000 ,
R ,8 ,C ,5 ,N ,180 ,D ,14,Rate ,1.086392,T ,7.118000 ,
R ,8 ,C ,5 ,N ,180 ,D ,16,Rate ,1.089734,T ,14.375000 ,
R ,8 ,C ,5 ,N ,180 ,D ,18,Rate ,1.097091,T ,25.777000 ,
R ,8 ,C ,5 ,N ,180 ,D ,20,Rate ,1.101201,T ,45.483000 ,
R ,8 ,C ,5 ,N ,180 ,D ,25,Rate ,1.081952,T ,77.954000 ,
R ,8 ,C ,5 ,N ,180 ,D ,30,Rate ,1.083042,T ,147.773000 ,
R ,8 ,C ,5 ,N ,200 ,D ,1,Rate ,1.185000,T ,0.337000 ,
R ,8 ,C ,5 ,N ,200 ,D ,2,Rate ,1.122924,T ,0.263000 ,
R ,8 ,C ,5 ,N ,200 ,D ,3,Rate ,1.188917,T ,0.398000 ,
R ,8 ,C ,5 ,N ,200 ,D ,4,Rate ,1.133843,T ,0.410000 ,
R ,8 ,C ,5 ,N ,200 ,D ,5,Rate ,1.141593,T ,0.647000 ,
R ,8 ,C ,5 ,N ,200 ,D ,6,Rate ,1.161716,T ,1.067000 ,
R ,8 ,C ,5 ,N ,200 ,D ,8,Rate ,1.151976,T ,2.468000 ,
R ,8 ,C ,5 ,N ,200 ,D ,10,Rate ,1.102950,T ,3.437000 ,
R ,8 ,C ,5 ,N ,200 ,D ,12,Rate ,1.105810,T ,5.282000 ,
R ,8 ,C ,5 ,N ,200 ,D ,14,Rate ,1.131864,T ,15.716000 ,
R ,8 ,C ,5 ,N ,200 ,D ,16,Rate ,1.119584,T ,25.887000 ,
R ,8 ,C ,5 ,N ,200 ,D ,18,Rate ,1.097576,T ,35.976000 ,
R ,8 ,C ,5 ,N ,200 ,D ,20,Rate ,1.090443,T ,53.708000 ,
R ,8 ,C ,5 ,N ,220 ,D ,1,Rate ,1.250000,T ,0.395000 ,
R ,8 ,C ,5 ,N ,220 ,D ,2,Rate ,1.125000,T ,0.335000 ,
R ,8 ,C ,5 ,N ,220 ,D ,3,Rate ,1.176211,T ,0.512000 ,
R ,8 ,C ,5 ,N ,220 ,D ,4,Rate ,1.162113,T ,0.545000 ,
R ,8 ,C ,5 ,N ,220 ,D ,5,Rate ,1.240102,T ,1.206000 ,
R ,8 ,C ,5 ,N ,220 ,D ,6,Rate ,1.206030,T ,1.637000 ,
R ,8 ,C ,5 ,N ,220 ,D ,8,Rate ,1.137405,T ,2.634000 ,
R ,8 ,C ,5 ,N ,220 ,D ,10,Rate ,1.134687,T ,5.240000 ,
R ,8 ,C ,5 ,N ,220 ,D ,12,Rate ,1.112403,T ,10.260000 ,
R ,8 ,C ,5 ,N ,220 ,D ,14,Rate ,1.146067,T ,23.941000 ,
R ,8 ,C ,5 ,N ,220 ,D ,16,Rate ,1.118110,T ,31.961000 ,
R ,8 ,C ,5 ,N ,220 ,D ,18,Rate ,1.129691,T ,73.512000 ,
R ,8 ,C ,5 ,N ,220 ,D ,20,Rate ,1.138738,T ,135.279000 ,
R ,8 ,C ,5 ,N ,240 ,D ,1,Rate ,1.212500,T ,0.469000 ,
R ,8 ,C ,5 ,N ,240 ,D ,2,Rate ,1.150685,T ,0.386000 ,
R ,8 ,C ,5 ,N ,240 ,D ,3,Rate ,1.186296,T ,0.681000 ,
R ,8 ,C ,5 ,N ,240 ,D ,4,Rate ,1.201040,T ,0.738000 ,
